intersect_bp,f_orig_query,f_match,f_unique_to_query,name,filename,md5
6830000.0,0.03364366287375006,1.0,0.03364366287375006,BX119912.1 Rhodopirellula baltica SH 1 complete genome,/data/genbank-k31.sbt.json,fe2f7e3e143e72582f902ff258901d47
6260000.0,0.030835919412836806,0.7944162436548223,0.030835919412836806,"BA000019.2 Nostoc sp. PCC 7120 DNA, complete genome",/data/genbank-k31.sbt.json,b707f3cdca627cd3c985ada91454874e
4910000.0,0.0241860006896212,0.7957860615883307,0.0241860006896212,"AE015928.1 Bacteroides thetaiotaomicron VPI-5482, complete genome",/data/genbank-k31.sbt.json,8affae43de8758c8d77c302cacc884ab
4790000.0,0.023594896803113146,0.7603174603174603,0.023594896803113146,"CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome",/data/genbank-k31.sbt.json,e04a17715259ffe539c22d2f480a2484
4660000.0,0.02295453425939609,0.8910133843212237,0.02295453425939609,"CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome",/data/genbank-k31.sbt.json,6cf63ffd3b4cdd74285f8c2ea5c04d78
4450000.0,0.021920102458006994,0.9888888888888889,0.021920102458006994,"AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome",/data/genbank-k31.sbt.json,ea5b483d89c2834cba889470ee54bc06
4270000.0,0.021033446628244915,0.9953379953379954,0.021033446628244915,"CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome",/data/genbank-k31.sbt.json,53ae51540690b8114e8c9b1de15ac31f
4140000.0,0.020393084084527856,0.45,0.020393084084527856,"CP000270.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence",/data/genbank-k31.sbt.json,00ba560c11b5aed2491ac8a484d4e210
4090000.0,0.020146790798482833,0.715034965034965,0.020146790798482833,"CP000850.1 Salinispora arenicola CNS-205, complete genome",/data/genbank-k31.sbt.json,9cd58999b3384a98ae6e1c6d42918dff
3870000.0,0.019063100339884734,0.7315689981096408,0.019063100339884734,"AE010299.1 Methanosarcina acetivorans str. C2A, complete genome",/data/genbank-k31.sbt.json,5a9fc0ee959336a305ee239f9b66b7b9
3870000.0,0.019063100339884734,0.9922879177377892,0.019013841682675732,"CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472 genomic scaffold, whole genome shotgun sequence",/data/genbank-k31.sbt.json,5d89b30ca0135902efc54d4dfef06c07
3820000.0,0.018816807053839712,0.7311411992263056,0.018619772425003695,"CP000139.1 Bacteroides vulgatus ATCC 8482, complete genome",/data/genbank-k31.sbt.json,c2a9fe2dfaa14f88998b7d1dabc05f46
3730000.0,0.018373479138958673,0.7395626242544732,0.018324220481749667,"CP001013.1 Leptothrix cholodnii SP-6, complete genome",/data/genbank-k31.sbt.json,77c2bf53734a8f5a0a8368ca4166f45f
3570000.0,0.0175853406236146,0.9861878453038674,0.0175853406236146,"AE017180.2 Geobacter sulfurreducens PCA, complete genome",/data/genbank-k31.sbt.json,cad70347d69826f67584d0a9d218bdbd
3290000.0,0.016206098221762475,0.8820375335120644,0.016206098221762475,"CP000568.1 Clostridium thermocellum ATCC 27405, complete genome",/data/genbank-k31.sbt.json,c8dfefe51d10d2bc69e98ccb9f52cb8f
3490000.0,0.017191271365942565,0.6491935483870968,0.015861287621299444,"CP000667.1 Salinispora tropica CNB-440, complete genome",/data/genbank-k31.sbt.json,0859bb63eaa83740362a288b98c7052e
